Stations_id,Datenquelle,Jan.,Feb.,M�rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
3425,51,0,        .7,       4.3,       7.5,      12.4,      15.3,      17.3,      16.8,13,       8.5,       3.6,       1.1,       8.3
3426,46,       -.1,        .8,       4.3,       8.2,      13.6,      16.5,      18.4,      18.2,      13.9,       9.2,       4.1,       1.3,9
3432,46,       -.1,        .7,4,       7.2,      12.1,15,      17.2,      16.7,      12.8,       8.3,       3.4,       1.1,       8.2
3442,51,1,       1.7,       5.7,       9.1,      13.8,      16.9,19,      18.5,      14.3,       9.3,       4.6,       2.3,       9.6
3478,46,       -.2,        .3,       3.3,       7.1,      12.1,      15.1,      17.2,      17.1,      13.2,       8.8,       3.9,       1.2,       8.3
3484,46,-1,        .1,       4.2,       7.8,      13.1,      15.9,      17.8,      17.5,      13.3,       8.2,       3.1,        .3,       8.4
3485,46,       -.7,        .2,       4.1,       7.4,      12.4,      15.3,      17.4,      16.9,13,       8.3,       3.2,        .6,       8.2
3486,51,1,       1.9,       5.8,       9.2,14,      16.9,19,      18.7,      14.5,       9.6,       4.6,       2.1,       9.7
3490,51,       2.3,       2.6,       6.1,       8.9,      13.6,      16.4,      18.4,      17.9,      14.3,       9.7,       5.6,       3.4,       9.8
3509,46,       -.2,        .3,       3.4,       7.3,      12.7,      15.6,      17.6,      17.1,      13.1,       8.6,       3.9,       1.2,       8.4
3513,46,-3,      -2.4,        .9,       4.4,       9.6,      12.4,      14.2,      14.3,      10.6,6,        .8,      -1.6,       5.5
3518,46,      -1.6,       -.7,       2.8,       5.9,      10.8,      13.6,16,      15.7,12,       7.3,2,       -.4,7
3519,46,      -1.2,       -.2,       3.4,       6.6,      11.5,      14.3,      16.7,      16.3,      12.5,       7.8,       2.5,       -.1,       7.5
